ground_truth_id,meter_id,user_id,timestamp,anomaly_type,severity,observed_consumption,expected_baseline,deviation_liters,description
1,1,1,2026-07-13T00:00:00,leak,high,17.1,1.009,16.091,Continuous toilet flapper valve leak (non-zero night flow)
2,1,1,2026-07-13T01:00:00,leak,high,14.857,0.404,14.453,Continuous toilet flapper valve leak (non-zero night flow)
3,1,1,2026-07-13T02:00:00,leak,high,16.521,0.202,16.319,Continuous toilet flapper valve leak (non-zero night flow)
4,1,1,2026-07-13T03:00:00,leak,high,15.884,0.202,15.682,Continuous toilet flapper valve leak (non-zero night flow)
5,1,1,2026-07-13T04:00:00,leak,high,15.389,0.404,14.985,Continuous toilet flapper valve leak (non-zero night flow)
6,1,1,2026-07-13T05:00:00,leak,high,20.058,2.019,18.039,Continuous toilet flapper valve leak (non-zero night flow)
7,1,1,2026-07-13T06:00:00,leak,high,25.441,11.104,14.337,Continuous toilet flapper valve leak (non-zero night flow)
8,1,1,2026-07-13T07:00:00,leak,high,40.514,24.228,16.286,Continuous toilet flapper valve leak (non-zero night flow)
9,1,1,2026-07-13T08:00:00,leak,high,45.188,29.275,15.913,Continuous toilet flapper valve leak (non-zero night flow)
10,1,1,2026-07-13T09:00:00,leak,high,34.939,18.171,16.769,Continuous toilet flapper valve leak (non-zero night flow)
11,1,1,2026-07-13T10:00:00,leak,high,30.906,12.114,18.792,Continuous toilet flapper valve leak (non-zero night flow)
12,1,1,2026-07-13T11:00:00,leak,high,30.32,14.509,15.812,Continuous toilet flapper valve leak (non-zero night flow)
13,1,1,2026-07-13T12:00:00,leak,high,33.966,16.895,17.071,Continuous toilet flapper valve leak (non-zero night flow)
14,1,1,2026-07-13T13:00:00,leak,high,27.937,14.115,13.821,Continuous toilet flapper valve leak (non-zero night flow)
15,1,1,2026-07-13T14:00:00,leak,high,26.464,10.799,15.665,Continuous toilet flapper valve leak (non-zero night flow)
16,1,1,2026-07-13T15:00:00,leak,high,30.048,11.997,18.051,Continuous toilet flapper valve leak (non-zero night flow)
17,1,1,2026-07-13T16:00:00,leak,high,31.908,16.275,15.633,Continuous toilet flapper valve leak (non-zero night flow)
18,1,1,2026-07-13T17:00:00,leak,high,38.787,23.617,15.17,Continuous toilet flapper valve leak (non-zero night flow)
19,1,1,2026-07-13T18:00:00,leak,high,49.687,33.228,16.459,Continuous toilet flapper valve leak (non-zero night flow)
20,1,1,2026-07-13T19:00:00,leak,high,46.032,32.827,13.205,Continuous toilet flapper valve leak (non-zero night flow)
21,1,1,2026-07-13T20:00:00,leak,high,43.948,26.625,17.323,Continuous toilet flapper valve leak (non-zero night flow)
22,1,1,2026-07-13T21:00:00,leak,high,31.691,17.161,14.529,Continuous toilet flapper valve leak (non-zero night flow)
23,1,1,2026-07-13T22:00:00,leak,high,23.668,8.076,15.592,Continuous toilet flapper valve leak (non-zero night flow)
24,1,1,2026-07-13T23:00:00,leak,high,19.113,3.028,16.084,Continuous toilet flapper valve leak (non-zero night flow)
25,1,1,2026-07-14T00:00:00,leak,high,16.954,1.009,15.944,Continuous toilet flapper valve leak (non-zero night flow)
26,1,1,2026-07-14T01:00:00,leak,high,16.319,0.404,15.915,Continuous toilet flapper valve leak (non-zero night flow)
27,1,1,2026-07-14T02:00:00,leak,high,14.633,0.202,14.432,Continuous toilet flapper valve leak (non-zero night flow)
28,1,1,2026-07-14T03:00:00,leak,high,17.291,0.202,17.089,Continuous toilet flapper valve leak (non-zero night flow)
29,1,1,2026-07-14T04:00:00,leak,high,16.514,0.404,16.11,Continuous toilet flapper valve leak (non-zero night flow)
30,1,1,2026-07-14T05:00:00,leak,high,18.88,2.019,16.861,Continuous toilet flapper valve leak (non-zero night flow)
31,1,1,2026-07-14T06:00:00,leak,high,30.36,11.104,19.255,Continuous toilet flapper valve leak (non-zero night flow)
32,1,1,2026-07-14T07:00:00,leak,high,45.534,24.228,21.306,Continuous toilet flapper valve leak (non-zero night flow)
33,1,1,2026-07-14T08:00:00,leak,high,40.913,29.275,11.637,Continuous toilet flapper valve leak (non-zero night flow)
34,1,1,2026-07-14T09:00:00,leak,high,35.904,18.171,17.733,Continuous toilet flapper valve leak (non-zero night flow)
35,1,1,2026-07-14T10:00:00,leak,high,27.344,12.114,15.23,Continuous toilet flapper valve leak (non-zero night flow)
36,1,1,2026-07-14T11:00:00,leak,high,32.091,14.472,17.619,Continuous toilet flapper valve leak (non-zero night flow)
37,1,1,2026-07-14T12:00:00,leak,high,33.821,16.491,17.33,Continuous toilet flapper valve leak (non-zero night flow)
38,1,1,2026-07-14T13:00:00,leak,high,31.418,13.924,17.494,Continuous toilet flapper valve leak (non-zero night flow)
