reading_id,meter_id,user_id,timestamp,cumulative_reading,hourly_consumption_liters,daily_consumption_liters,monthly_consumption_liters,temperature_celsius,quality_score,data_source,is_validated,created_at,anomaly_ground_truth,anomaly_type
1,1,1,2026-06-01T00:00:00,12450.899,0.899,309.574,11016.184,20.66,98,estimated,True,2026-06-01T00:02:00,False,none
2,1,1,2026-06-01T01:00:00,12450.899,0.0,309.574,11016.184,19.93,98,estimated,True,2026-06-01T01:02:00,False,none
3,1,1,2026-06-01T02:00:00,12450.899,0.0,309.574,11016.184,19.28,98,estimated,True,2026-06-01T02:02:00,False,none
4,1,1,2026-06-01T03:00:00,12450.899,0.0,309.574,11016.184,18.81,98,estimated,True,2026-06-01T03:02:00,False,none
5,1,1,2026-06-01T04:00:00,12450.899,0.0,309.574,11016.184,18.94,98,estimated,True,2026-06-01T04:02:00,False,none
6,1,1,2026-06-01T05:00:00,12452.468,1.569,309.574,11016.184,18.98,98,estimated,True,2026-06-01T05:02:00,False,none
7,1,1,2026-06-01T06:00:00,12463.991,11.523,309.574,11016.184,20.06,98,estimated,True,2026-06-01T06:02:00,False,none
8,1,1,2026-06-01T07:00:00,12484.113,20.122,309.574,11016.184,21.14,98,estimated,True,2026-06-01T07:02:00,False,none
9,1,1,2026-06-01T08:00:00,12512.595,28.482,309.574,11016.184,23.29,98,estimated,True,2026-06-01T08:02:00,False,none
10,1,1,2026-06-01T09:00:00,12527.659,15.064,309.574,11016.184,24.03,98,estimated,True,2026-06-01T09:02:00,False,none
11,1,1,2026-06-01T10:00:00,12539.934,12.275,309.574,11016.184,25.08,98,estimated,True,2026-06-01T10:02:00,False,none
12,1,1,2026-06-01T11:00:00,12554.716,14.782,309.574,11016.184,26.04,98,estimated,True,2026-06-01T11:02:00,False,none
13,1,1,2026-06-01T12:00:00,12570.708,15.992,309.574,11016.184,27.3,98,estimated,True,2026-06-01T12:02:00,False,none
14,1,1,2026-06-01T13:00:00,12587.419,16.711,309.574,11016.184,28.09,98,estimated,True,2026-06-01T13:02:00,False,none
15,1,1,2026-06-01T14:00:00,12596.73,9.311,309.574,11016.184,28.82,98,estimated,True,2026-06-01T14:02:00,False,none
16,1,1,2026-06-01T15:00:00,12606.839,10.109,309.574,11016.184,29.33,98,estimated,True,2026-06-01T15:02:00,False,none
17,1,1,2026-06-01T16:00:00,12619.094,12.255,309.574,11016.184,28.91,98,estimated,True,2026-06-01T16:02:00,False,none
18,1,1,2026-06-01T17:00:00,12642.646,23.552,309.574,11016.184,27.8,98,estimated,True,2026-06-01T17:02:00,False,none
19,1,1,2026-06-01T18:00:00,12675.753,33.107,309.574,11016.184,27.83,98,estimated,True,2026-06-01T18:02:00,False,none
20,1,1,2026-06-01T19:00:00,12707.17,31.417,309.574,11016.184,26.45,98,estimated,True,2026-06-01T19:02:00,False,none
21,1,1,2026-06-01T20:00:00,12731.149,23.979,309.574,11016.184,24.7,98,estimated,True,2026-06-01T20:02:00,False,none
22,1,1,2026-06-01T21:00:00,12750.487,19.338,309.574,11016.184,23.82,98,estimated,True,2026-06-01T21:02:00,False,none
23,1,1,2026-06-01T22:00:00,12756.854,6.367,309.574,11016.184,22.84,98,estimated,True,2026-06-01T22:02:00,False,none
24,1,1,2026-06-01T23:00:00,12759.574,2.72,309.574,11016.184,21.63,98,estimated,True,2026-06-01T23:02:00,False,none
25,1,1,2026-06-02T00:00:00,12761.073,1.499,330.149,11016.184,20.47,98,estimated,True,2026-06-02T00:02:00,False,none
26,1,1,2026-06-02T01:00:00,12761.073,0.0,330.149,11016.184,20.36,98,estimated,True,2026-06-02T01:02:00,False,none
27,1,1,2026-06-02T02:00:00,12761.073,0.0,330.149,11016.184,19.37,98,estimated,True,2026-06-02T02:02:00,False,none
28,1,1,2026-06-02T03:00:00,12761.073,0.0,330.149,11016.184,19.41,98,estimated,True,2026-06-02T03:02:00,False,none
29,1,1,2026-06-02T04:00:00,12761.073,0.0,330.149,11016.184,19.38,98,estimated,True,2026-06-02T04:02:00,False,none
